Report ID,Title,Year
97,"Section 28, Indian Contract Act, 1872: Prescriptive Clauses In Contracts.",1984
98,"Sections 24 To 26, Hindu Marriage Act, 1955: Orders For Interim Maintenance And Orders For The Maintenance Of Children In Matrimonial Proceedings.",1984
99,Oral And Written Arguments In The Higher Courts.,1984
100,Litigation By And Against The Government: Some Recommendations For Reform.,1984
101,Freedom Of Speech And Expression Under Article 19 Of The Constitution: Recommendation To Extend It To Indian Corporations.,1984
102,"Section 122(1) Of The Code Of Criminal Procedure, 1973: Imprisonment For Breach Of Bond For Keeping The Peace With Sureties.",1984
103,Unfair Terms In Contract.,1984
104,"The Judicial Officers' Protection Act, 1850.",1984
105,Quality Control And Inspection Of Consumer Goods.,1984
106,"Section 103a, Motor Vehicles Act, 1939: Effect Of Transfer Of A Motor Vehicle On Insurance.",1984
107,Law Of Citizenship.,1984
108,Promissory Estoppel.,1984
109,"Obscene And Indecent Advertisements And Displays: Sections 292-293, Indian Penal Code.",1985
110,"The Indian Succession Act, 1925.",1985
111,"The Fatal Accidents Act, 1855.",1985
112,"Section 45 Of The Insurance Act, 1938.",1985
113,"Injuries In Police Custody- Suggested Section 114b, Evidence Act.",1985
114,Gram Nyayalaya.,1986
115,Tax Courts.,1986
116,Formation Of An All India Judicial Service.,1986
117,Training Of Judicial Officers.,1986
118,Method Of Appointment To Subordinate Courts/ Subordinate Judiciary.,1986
119,"Access To Exclusive Forum For Victims Of Motor Accidents Under Motor Vehicles Act, 1939.",1987
120,Manpower Planning In Judiciary: A Blueprint,1987
121,A New Forum For Judicial Appointments.,1987
122,Forum For National Uniformity In Labour Adjudication.,1987
123,Decentralisation Of Administration Of Justice:disputes Involving Centres Of Higher Education.,1988
124,The High Court Arrears- A Fresh Look.,1988
125,The Supreme Court- A Fresh Look.,1988
126,Government And Public Sector Undertaking Litigation Policy And Strategies.,1988
127,Resource Allocation For Infra-Structural Services In Judicial Administration (A Continuum Of The Report On Manpower Planning In Judiciary: A Blueprint).,NA
128,Cost Of Litigation.,1988
129,Urban Litigation – Mediation As Alternative To Adjudication.,1988
130,Benami Transactions:a Continuum.,1988
131,Role Of Legal Profession In Administration Of Justice.,1988
132,"Need For Amendment Of The Provisions Of The Chapter Ix Of The Code Of Criminal Procedure, 1973 In Order To Ameliorate The Hardship And Mitigate The Distress Of Neglected Women, Children And Parents.",1989
133,Removal Of Discrimination Against Women In Matters Relating To Guardianship And Custody Of Minor Children And Elaboration Of The Welfare Principle.,1989
134,"Removing Deficiencies In Certain Provisions Of The Workmen's Compensation Act, 1923.",1989
135,Women In Custody.,1989
136,Conflicts In High Court Decisions On Central Laws- How To Foreclose And How To Resolve.,1990
137,Need For Creating Office Of Ombudsman And For Evolving Legislative Administrative Measures Inter-Alia To Relieve Hardships Caused By Inordinate Delays In Settling Provident Fund Claims Of Beneficiaries.,1990
138,Legislative Protection For Slum And Pavement Dwellers.,1990
139,"Urgent Need To Amend Order Xxi, Rule 92(2), Code Of Civil Procedure To Remove An Anomaly Which Nullifies The Benevolent Intention Of The Legislature And Occasions Injustice To Judgement-Debtors Sought To Be Benefited.",1991
140,"Need To Amend Order V, Rule 19a Of The Code Of Civil Procedure, 1908, Relating To Service Of Summons By Registered Post With A View To Foreclose Likely Injustice.",1991
141,Need For Amending The Law As Regards Power Of Courts To Restore Criminal Revisional Applications And Criminal Cases Dismissed For Default In Appearance.,1991
142,Concessional Treatment For Offenders Who On Their Own Initiative Choose To Plead Guilty Without Any Bargaining.,1991
143,Legislative Safeguards For Protecting The Small Depositors From Exploitation.,1991
144,"Conflicting Judicial Decisions Pertaining To The Code Of Civil Procedure, 1908.",1992
145,Article 12 Of The Constitution And Public Sector Undertakings.,1992
146,"Sale Of Women And Children: Proposed Section 373-A, Indian Penal Code.",1993
147,"The Specific Relief Act, 1963.",1993
148,Repeal Of Certain Pre-1947 Central Acts.,1993
149,"Removal Of Certain Deficiencies In The Motor Vehicles Act, 1988 (Act No. 59 Of 1988).",1994
150,Suggesting Some Amendments To The Code Of Civil Procedure (Act No. V Of 1908).,1994
151,Admiralty Jurisdiction.,1994
152,Custodial Crimes.,1994
153,Inter-Country Adoption.,1994
154,"The Code Of Criminal Procedure, 1973 (Act No. 2 Of 1974).",1996
155,"The Narcotics Drugs And Psychotropic Substances Act, 1985(Act No. 61 Of 1985).",1997
156,The Indian Penal Code.,1997
157,"Section 52:Transfer Of Property Act, 1882 And Its Amendment.",1998
158,"The Amendment Of The Industries (Development And Regulation) Act, 1951",1998
159,Repeal And Amendment Of Laws: Part I,1998
160,"Amendment To The All India Council For Technical Education Act, 1987 (Act No. 52 Of 1987)",1998
161,Central Vigilance Commission And Allied Bodies.,1998
162,"Review Of Functioning Of Central Administrative Tribunal, Customs, Excise And Gold (Control) Appellate Tribunal And Income-Tax Appellate Tribunal",1998
163,"The Code Of Civil Procedure (Amendment) Bill, 1997",1998
164,"The Indian Divorce Act, 1869 (Act Iv Of 1869)",1998
165,Free And Compulsory Education For Children,1998
166,The Corrupt Public Servants (Forfeiture Of Property) Bill.,1999
167,"The Patents (Amendment) Bill, 1998.",1999
168,"The Hire-Purchase Act, 1972",1999
169,"Amendment Of Army, Navy And Air Force Act.",1999
170,Reform Of The Electoral Laws,1999
171,"The Biodiversity Bill, 2000",2000
172,Review Of Rape Laws,2000
173,"Prevention Of Terrorism Bill, 2000",2000
174,Property Rights Of Women: Proposed Reforms Under The Hindu Law,2000
175,"The Foreigners (Amendment) Bill, 2000",2000
176,"The Arbitration And Conciliation (Amendment) Bill, 2002",2001
177,Law Relating To Arrest,2001
178,"Recommendations For Amending Various Enactments, Both Civil And Criminal",2001
179,Public Interest Disclosure And Protection Of Informers,2001
180,Article 20 (3) Of The Constitution Of India And Right To Silence,2002
181,"Amendment To Section 106 Of The Transfer Of Property Act, 1882",2002
182,"Amendment Of Section 6 Of The Land Acquisition Act, 1894.",2002
183,"A Continuum On The General Clauses Act, 1897 With Special Reference To The Admissibility And Codification Of External Aids To Interpretation Of Statutes.",2002
184,"Legal Education & Professional Training And Proposals For Amendments To The Advocates Act, 1961 And The University Grants Commission Act, 1956.",2002
185,"Review Of The Indian Evidence Act, 1872.",2003
186,Proposal To Constitute Environment Courts,2003
187,Mode Of Execution Of Death Sentence And Incidental Matters,2003
188,The Proposals For Constitution Of Hi-Tech Fast - Track Commercial Divisions In High Courts.,2003
189,Revision Of Court Fees Structure,2004
190,"The Revision Of The Insurance Act, 1938 And The Insurance Regulatory And Development Authority Act, 1999",2004
191,Regulation Of Funds Collected For Calamity Relief.,2004
192,Prevention Of Vexatious Litigation.,2005
193,"Transnational Litigation, Conflict Of Laws, Law Of Limitation.",2005
194,Verification Of Stamp Duties And Registration Of Arbitral Awards.,2005
195,"The Judges (Inquiry) Bill, 2005",2006
196,Medical Treatment To Terminally Ill Patients (Protection Of Patients And Medical Practitioners),2006
197,Public Prosecutor’s Appointments.,2006
198,Witness Identity Protection And Witness Protection Programmes,2006
199,Unfair (Procedural And Substancive) Terms In Contracts,2006
200,"Trial By Media: Free Speech Vs. Fair Trial Under Criminal Procedure (Amendments To The Contempt Of Court Act, 1971)",2006
201,Medical Treatment After Accidents And During Emergency Medical Condition And Women In Labour,2006
202,Proposal To Amend Section 304-B Of The Indian Penal Code,2007
203,"Section 438 Of The Code Of Criminal Procedure, 1973 As Amended By The Code Of Criminal Procedure (Amendment) Act, 2005 (Anticipatory Bail)",2007
204,"Proposal To Amend The Hindu Succession Act, 1956 As Amended By Act 39 Of 2005.",2008
205,"Proposal To Amend The Prohibition Of Child Marriage Act, 2006 And Other Allied Laws.",2008
206,Proposal For Enactment Of New Coroners Act Applicable To The Whole Of India,2008
207,"Proposal To Amend Section 15 Of The Hindu Succession Act, 1956 In Case A Female Dies Intestate Leaving Herself Acquired Property With No Heirs.",2008
208,"Proposal For Amendment Of Explanation To Section 6 Of The Hindu Succession Act, 1956 To Include Oral Partition And Family Arrangement In The Definition Of ""Partition""",2008
209,"Proposal For Omission Of Section 213 From The Indian Succession Act, 1925",2008
210,Humanization And Decriminalization Of Attempt To Suicide.,2008
211,Laws On Registration Of Marriage And Divorce –A Proposal For Consolidation And Reform.,2008
212,Laws Of Civil Marriages In India – A Proposal To Resolve Certain Conflicts,2008
213,Fast Track Magisterial Courts For Dishonoured Cheque Cases,2008
214,"Proposal For Reconsideration Of Judges Cases I, Ii And Iii - Sp Gupta Vs. Uoi",2008
215,L . Chandra Kumar Be Revisited By Larger Bench Of Supreme Court Of India,2008
216,Non-Feasibility Of Introduction Of Hindi As Compulsory Language In The Supreme Court Of India,2008
217,Irretrievable Breakdown Of Marriage - Another Ground For Divorce.,2009
218,Need To Accede To The Hague Convention On The Civil Aspects Of International Child Abduction (1980).,2009
219,Need For Family Law Legislations For Non-Resident Indians.,2009
220,Need To Fix Maximum Chargeable Court-Fees In Subordinate Civil Courts.,2009
221,Need For Speedy Justice – Some Suggestions.,2009
222,Need For Justice–Dispensation Through Adr Etc.,2009
223,Need For Ameliorating The Lot Of The Have-Nots - Supreme Court’s Judgments.,2009
224,Amendment Of Section 2 Of The Divorce Act 1869 Enabling Non-Domiciled Estranged Christian Wives To Seek Divorce.,2009
225,"Amendment Of Sections 7, 7a, And 7b Of Industrial Disputes Act 1947 Making Advocates Eligible To Man Labour Courts And Industrial Tribunals.2009",2009
226,The Inclusion Of Acid Attacks As Specific Offences In The Indian Penal Code And A Law For Compensation For Victims Of Crime.,2009
227,Preventing Bigamy Via Conversion To Islam - A Proposal For Giving Statutory Effect To Supreme Court Rulings,2009
228,Need For Legislation To Regulate Assisted Reproductive Technology Clinics As Well As Rights And Obligations Of Parties To A Surrogacy,2009
229,"Need For Division Of The Supreme Court Into A Constitution Bench At Delhi And Cassation Benches In Four Regions At Delhi, Chennai/ Hyderabad, Kolkata And Mumbai",2009
230,Reforms In The Judiciary – Some Suggestions,2009
231,Amendments In Indian Stamp Act 1899 And Court-Fees Act 1870 Permitting Different Modes Of Payment,2009
232,Retirement Age Of Chairpersons And Members Of Tribunals – Need For Uniformity,2009
233,Amendment Of Code Of Criminal Procedure Enabling Restoration Of Complaints,2009
234,Legal Reforms To Combat Road Accidents,2009
235,Conversion/Reconversion To Another Religion - Mode Of Proof,2010
236,Court-Fees In Supreme Court Vis-À-Vis Corporate Litigation,2010
237,Compounding Of (Ipc) Offences,2011
238,"Amendment Of Section 89 Of The Code Of Civil Procedure, 1908 And Allied Provisions",2011
239,Expeditious Investigation And Trial Of Criminal Cases Against 2012 Influential Public Personalities,2012
240,Costs In Civil Litigation,2012
241,Passive Euthanasia - A Relook,2012
242,Prevention Of Interference With The Freedom Of Matrimonial Alliances 2012 (In The Name Of Honour And Tradition ) : A Suggested Legal Framework,2012
243,"Section 498 A, Ipc",2012
244,Electoral Disqualifications,2014
245,Arrears And Backlog: Creating Additional Judicial (Wo)Manpower,2014
246,"Amendments To The Arbitration And Conciliation Act, 1996",2014
247,"Sections 41 To 48 Of The Indian Succession Act,1925 – Proposed Reforms",2014
248,Obsolete Laws: Warranting Immediate Repeal (Interim Report),2014
249,Obsolete Laws: Warranting Immediate Repeal (Second Interim Report),2014
250,Obsolete Laws: Warranting Immediate Repeal (Third Interim Report),2014
251,Obsolete Laws: Warranting Immediate Repeal (Fourth Interim Report),2014
252,"Right Of The Hindu Wife To Maintenance: A Relook At Section 18 Of The Hindu Adoptions And Maintenance Act, 1956",2015
253,"Commercial Division And Commercial Appellate Division Of High Courts And Commercial Courts Bill, 2015",2015
254,"The Prevention Of Corruption (Amendment) Bill, 2013",2015
255,Electoral Reforms,2015
256,Eliminating Discrimination Against Persons Affected By Leprosy,2015
257,Reforms In Guardianship And Custody Laws In India,2015
258,Prevention Of Bribery Of Foreign Public Officials And Officials Of Public International Organisations – A Study And Proposed Amendments,2015
259,Early Childhood Development And Legal Entitlement,2015
260,Analysis Of The 2015 Draft Model Indian Bilateral Investment Treaty,2015
261,Need To Regulate Pet Shops And Dog And Aquarium Fish Breeding,2015
262,The Death Penalty,2015
263,"The Protection of Children (Inter-Country Removal and Retention) Bill, 2016",2016
264,"The Criminal Law (Amendment) Bill, 2017 (Provisions dealing with Food Adulteration)",2017
265,Prospects of Exempting Income arising out of Maintenance Money of Minor,2017
266,Advocates Act,2017
267,Hate Speech,2017
268,"Amendments to Criminal Procedure Code, 1973 – Provisions Relating to Bail | Corrigendum  to 268",2017
269,House-keeping of Egg-laying Hens,2017
270,Compulsory Registration of Marriages,2017
271,Human DNA Profiling,2017
272,Assessment of Statutory Frameworks of Tribunals in India,2017
273,Implementation of United Nations Convention against Torture,2017
274,"Review of the Contempt of Courts Act, 1971",2018
275,"LEGAL FRAMEWORK: BCCI vis-à-vis RIGHT TO INFORMATION ACT, 2005",2018
276,Legal Framework: Gambling and Sports Betting Including  in Cricket in India,2018
277,Wrongful Prosecution (Miscarriage of Justice): Legal Remedies,2018
